"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","Hickory Tree Turkey BBQ (Fair)","25 X 10","","LOT J009","Vendor","WAKE","J Lot","J-9","Page 12","Hickory Tree Turkey",197,200,"Fried Turkey Sandwich, Turkey BBQ, Crack-N-Cheese Bowl, Turkey Tenders, Turkey Corndogs,Turkey BBQ Egg Rolls, Vegetarian Rolls, Collards, Mac-N-Cheese (Fried) Balls, Bake Beans, Slaw, Hushpuppies, Cracklings, Cole Slaw, Fries/Tator Tots, Thanksgiving Turkey Chop Sandwich, Soda, Water And Sou Juice Fruit Punch. Crack-N-Cheese Waffle Cone, Thanksgiving Turkey Chop Sandwich. ","","","","",35.794583,-78.708705
"","","Black's Concessions","12 X 12","","LOT I017","Vendor","F&D","I Lot","I-17","Page 11","Black Con",198,201,"Ice Cream & Frozen Bananas","","","","",35.794988,-78.709121
"","","Computer Imagery Services","9 X 13","","LOT D025","Vendor","OTHER","D Lot","D-25","Page 4","Computer Img",199,202,"Novelties","","","","",35.794961,-78.711725
"","","Jacks Fries Inc.","22 x 14","","LOT H-10","Vendor","WAKE","Scott North","H-10","Page 9","Jacks Fries",200,203,"Corn Dogs, French Fries & Drinks","","","","",35.796086,-78.709386
"","","Ford Foods","39 X 34","","LOT H12","Vendor","WAKE","Scott North","H-12","Page 9","Ford Foods",201,204,"Hot/Corn Dogs, Ital/Polish Sausage, Fries & Drinks","","","","",35.796253,-78.709432
"","","M Goldburg Associates","11 x 11","","LOT B001","Vendor","OTHER","B Lot","B-1","Page 2","Goldburg",202,205,"Novelty","","","","",35.795112,-78.71213
"","","Wlfl, Inc","20 X 20","","LOT K-WLFL","Vendor","OTHER","Dorton/Gate 1","K","Page 13","Wlfl",203,206,"Promotion - Gratis For Broadcasting (No Selling) ","","","","",35.793862,-78.709263
"","","Ggb Of Raleigh, LLC","20 X 10","","LOT K - GCB OF RALEIGH","Vendor","F&D","Dorton/Gate 1","K","Page 13","Ggb Of Raleigh",204,207,"World Largest Gummy Bears, Worms, Hearts, Brains, Frogs, Tongues, Giant Gummy Bears (On A Stick) And In Three-Pack Boxes, Edible Gummy Cups, Breakfast (Waffle, Egg & Bacon), Fish, Antlers, Teeth, Pizza Slice & Tee Shirts With Logo","","","","",35.793902,-78.709336
"","","M Goldburg Associates","11 X 11","","LOT I-07.1","Vendor","OTHER","I Lot","I-7.1","Page 11","Goldburg",205,208,"Novelty","","","","",35.794932,-78.709754
"","","Weidright, Charlene","50 X 65","","LOT H-02","Vendor","WAKE","Scott South","H-2","Page 10","Weidright",206,209,"Italian/Polish Sausages, Steak, Hot/Corn Dogs, Burgers, Onion Rings, Mozzarella Sticks, Cheese/French Fries & Drinks","","","","",35.795603,-78.709139
"","","Barcena, Rick","25 x 21","","LOT C019","Vendor","WAKE","C Lot","C-19","Page 3","Barcena, Rick",207,210,"Pizza, Nachos, Meatball Subs, Chicken Parmesan Subs, Sodas, Spring Water, Ice Tea & Lemonade","","","","",35.794897,-78.711917
"","","Cousins Confections","20 X 8","","LOT E 2.1","Vendor","F&D","Graham/Dorton","E-2.1","Page 6","Cousins",208,211,"Smoothies, Apples Fries, Funnel Cakes & Soft Drinks","","","","",35.793746,-78.711149
"","","Frazee, Tom","17x25","","LOT C015","Vendor","WAKE","C Lot","C-15","Page 3","Frazee, Tom",209,212,"Hot/Corn Dogs & Soda","","","","",35.794347,-78.711883
"","","Mcbride Concessions","16 X 27","","LOT C017","Vendor","WAKE","C Lot","C-17","Page 3","Mcbride ",210,213,"Smothered Covered Tater Tots - BBQ, Chili, Bacon/Cheese, Italian Mozzarella & Soda","","","","",35.794657,-78.712069
"","","Wildman Caricatures","15 X 20","","LOT C-30","Vendor","OTHER","C Lot","C-30","Page 3","Wildman Caricatures",211,214,"Caricature Drawings","","","","",35.794644,-78.711763
"","","Charcoal Hearth","18 X 19","","LOT D004","Vendor","WAKE","D Lot","D-4","Page 4","Charcoal Hearth",212,215,"Rib Eye Steak, Fries, Burgers & Drinks","","","","",35.794683,-78.710909
"","","North Carolina Fallen Firefighters","10 X 15","","DORTON AREA EAST SIDE","Vendor","OTHER","Dorton/Gate 1","K","Page 13","NC Fallen Fire",213,216,"Fallen Firefighters Promotion & Novelty Sales. Raffle Items: Drone & Gas Grill.","","","","",35.794167,-78.709663
"","","Mark Parrish & Sons","25 X 10","","LOT K002","Vendor","F&D","Dorton/Gate 1","K-2","Page 13","Parrish M.",214,217,"Peanuts, Apple Cider, Fruit Flavor Slushy, Antique Cider Press, Peanut Roaster & Drinks","","","","",35.794232,-78.709524
"","","Mediterranean Grill","20x22","","LOT K-7.1","Vendor","WAKE","Dorton/Gate 1","K-7.1","Page 13","Mediterranean",215,218,"Steak In Sack, Lamp/Chicken Pitas, Med, Salad, Grape Leaves, Quesadilla, Fajita, Fries, Tornado Fries, Deep Fried Bacon, Ravioli, Turkey Kebab, Chicken Liver/Francaise On Stick, Apple Beignets On Stick, New Orleans Stile Beignets, Ice Tea And Drinks","","","","",35.794062,-78.709424
"","","Ab Trailer Manufacturing","30 X 30","","LOT K AB TRAILER","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Ab Trailer",216,219,"Trailers","","","","",35.793011,-78.710457
"","","Black's Concessions","12 X 12","","LOT G023","Vendor","F&D","Coleman Hill","G-23","Page 9","Black Con",217,220,"Ice Cream (Rolled) & Frozen Bananas. Rolled Ice Cream. ","","","","",35.796358,-78.709632
"","","Mazzarella Pizza, Inc.","28 X 32","","LOT H-16","Vendor","F&D","Gate Nine","H-16","Page 17","Mazz Pizza",218,221,"Gingerbread House, Eclairs, Muffins, Brownies & Drinks","","","","",35.797029,-78.710804
"","","Mcbride Concessions","43 X 16","","LOT B","Vendor","WAKE","B Lot","B-4","Page 2","Mcbride ",219,222,"Turkey Legs, Ital/Polish Sausage, Philly Steak/Cheese, Hot/Corn Dogs, Fries, Veg, Onion Rings, Ribs, Confections & Drinks","","","","",35.795044,-78.712296
"","","Fontana Foods","26 X 16","","LOT D016","Vendor","WAKE","D Lot","D-16","Page 4","Fontana Foods",220,223,"Sausage, Steak, Hot Dogs, Hamburgers, Corn Dogs, Fries, Cheese Fries, Sodas, Lemonade","","","","",35.794625,-78.711568
"","","Fontana Foods","32 X 16","","LOT D015","Vendor","WAKE","D Lot","D-15","Page 4","Fontana Foods",221,224,"Pizza, Funnel Cakes, Lemonade & Drinks","","","","",35.794552,-78.711519
"","","Jacks Fries Inc.","23 x 14","","LOT E018","Vendor","F&D","Graham\Expo Plaza","E-18","Page 5","Jack Fries",222,225,"Fried Dough, Funnel Cakes, Drinks & Lemonade","","","","",35.794048,-78.712076
"","","Murphy House Distributors, LLC","40 X 20","","VENDOR - MURPHY HOUSE","Vendor","WAKE","Grandstand","G","Page 7","Murphy House",223,226,"Frozen Meats & Produce","","","","",35.795282,-78.712186
"","","Agronomy Club","24 X 8","","LOT K - AG CLUB","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Agronomy Club",224,227,"Educations Exhibit On NC Agriculture. Show Times: Monday - Thursday 3 Pm - 9 Pm And Friday - Sunday 9 Am - 9 Pm.","","","","",35.793498,-78.710236
"","","UNC Center For Public Television","60 X","","LOT K:1","Vendor","OTHER","Dorton/Hillsborough","K-1","Page 6","UNC Tv",225,228,"Novelties","","","","",35.793609,-78.710694
"","","UNC Center For Public Television","8 X 10","","LOT K:2","Vendor","OTHER","Dorton/Hillsborough","K-2","Page 6","UNC Tv",226,229,"Live Broadcast","","","","",35.793518,-78.710733
"","","Westover Methodist Church","23 X 32","","LOT P006","Vendor","WAKE","Lunchstand","P-6","Page 8","Westover Methodist",227,230,"Ham Biscuits, BBQ, Burgers, Hot Dogs, Fries, Homemade Desserts & Drinks (Non-Profit)","","","","",35.794965,-78.710514
"","","First United Methodist Of Cary","48 X 32","","LOT P007","Vendor","WAKE","Lunchstand","P-7","Page 8","First United Methodist Of Cary",228,231,"Ham Biscuits, Hot Dogs, BBQ, Burgers, Bruns Stew, Fries, Pies, Breakfast & Chic Breast (Non-Profit)","","","","",35.794996,-78.710401
"","","Gilliam, Gypsy","24 X 32","","LOT P008","Vendor","WAKE","Lunchstand","P-8","Page 8","Gilliam, Gypsy",229,232,"Biscuits, Meats (Country Ham, Sausage, Pork Chops, Bacon, Steak O' Lean, Chicken Fried Steak, Corned Beef Hash, Bologna, Hamburger, Hot Dogs, Smoked Sausage, Tenderloin, City Ham, Chicken Fingers & Freed Flounder), Eggs, Pancakes, Waffles, Hash Browns, Grits, Toast, Veggies (Mashed Potatoes, Collards, Cole Slaw, Beets, Mac NCheese, Sweet Potatoes, String Beans, Black Eye Peas, Fries, Chicken Salad, Fried Okra, Peach Cobbler, Banana Pudding, Peanut Butter & Jelly Sandwich, Soda & Water.","","","","",35.795028,-78.710286
"","","Apex Lions Club","48 X 32","","LOT P009","Vendor","WAKE","Lunchstand","P-9","Page 8","Apex Lions",230,233,"Hot Dogs, Burgers, BBQ, Ham/Sausage Biscuits, Sausage Gravy, Chicken Tenders, Fried Fish,  Eggs, Grits, Hash Browns/Tator Tots, Veg Soup, Fries, Eggs, Potato Salad, Brunswick Stew, Cornbread, Jumbala, Gumbo (Rice,Chicken & Sausage), Red Beans & Rice, Cheese Nachos, Pies, Milk, Soft Drinks & Water.(Non-Profit).

","","","","",35.795061,-78.710172
"","","Sunshine Seniors, Inc.","24 X 32","","LOT P010","Vendor","WAKE","Lunchstand","P-10","Page 8","Sunshine Seniors",231,234,"Hot Dogs, Hamburgers, BBQ, Fries, Chicken Fillet Sand, Plates, Nachos, Funnel Cakes & Drinks (Non-Profit)","","","","",35.795093,-78.710057
"","","Raleigh Flea Market LLC ","36 X 32","","1853 GRILL","Vendor","WAKE","Lunchstand","P-11.1","Page 8","Raleigh Flea Market LLC ",232,235,"Blooming Onions, Steak & Cheese, Burgers & Dogs, Funnel Cakes, Grilled Chicken, Nachos & Ice Cream","","","","",35.795119,-78.709961
"","","Jacks Seafood & Soul Food","48 X 32","","LOT P012","Vendor","WAKE","Lunchstand","P-12","Page 8","Jacks Seafood & Soul Food",233,236,"Fish/Chicken & Chips, Bacon, Sausage, Salmon Cakes, Corn Beef Hash, Eggs, Grits, Potatoes, Toast, Homemade Biscuits, Chicken & Waffles, Fried Fish, BBQ Chicken, BBQ, Hamburgers, Hot Dogs, Chicken Tenders, Green Beans, Cabbage, Cole Slaw, French Fries, House Salad, Sweet Tea, Fruit Punch, Lemonade, Sodas, Bottle Water, Coffee, Cakes And Pies.","","","","",35.795157,-78.709827
"","","Hunnicutt's","48 X 32","","LOT P013","Vendor","WAKE","Lunchstand","P-13","Page 8","Hunnicutts",234,237,"BBQ Burgers, Country Ham, Hot Dogs, Fries, Fried Chicken, BBQ Plates, Vegetables & Drinks","","","","",35.7952,-78.709674
"","","Tobacco Growers Association Of Nc","20 X 34","","HERITAGE VILLAGE - TOBACCO","Sponsor","F&D","Heritage Village","HV","Page 16","Tobacco Growers",235,238,"Tobacco Literature, Pictures, Prepackaged Snacks & Beverages","","","","",35.796155,-78.714936
"","","Tobacco Growers Association Of Nc","9 X 14","","HERITAGE VILLAGE - TOBACCO","Vendor","F&D","Heritage Village","HV","Page 16","Tobacco Growers",236,239,"Tobacco Literature, Pictures, Prepackaged Snacks & Beverages","","","","",35.796198,-78.714895
"","","Smittys Concessions","15 X 15","","HERITAGE VILLAGE - SMITTYS","Vendor","F&D","Heritage Village","HV","Page 16","Smittys Con.",237,240,"Fried Pies, Apple Dumplings & Fritters, Caramel Apples, Apple Butter, Peeled Apples & Apple Peelers","","","","",35.796633,-78.714685
"","","Tobacco Growers Association Of Nc","20 X 20","","HERITAGE VILLAGE - TOBACCO","Vendor","OTHER","Heritage Village","HV","Page 16","Tobacco Demo",238,241,"Tobacco Literature, Pictures, Prepackaged Snacks & Beverages","","","","",35.796317,-78.714967
"","","NC DMV","40X10","","","Vendor","OTHER","Graham/Dorton","E","Page 6","NC DMV",239,242,"Issue Duplicate Licenses & Id Cards, Promote DMV Services And Initiatives. Give-Away Pens, Pencils, Key Chains, Maps, Handbooks And Various Info.","","","","",35.793882,-78.711079
"","","News & Observer","30X15","","DORTON ARENA LAWN, EAST SIDE","Vendor","OTHER","Dorton/Gate 1","K","Page 13","News And Observer",240,244,"Promotional (Gratis)","","","","",35.79444,-78.709868
"","","Mobility Concepts","10 X 10","","GATE 1","Vendor","OTHER","Dorton/Gate 1","K","Page 13","Mobility Concepts",241,245,"Strollers, Wheelchairs, Wagons & Electrics  - 1 Year Only","","","","",35.79386,-78.708998
"","","Red Cross","10 X 10","","","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Red Cross",242,246,"","","","","",35.793601,-78.709862
"","","United States Navy","8 X 8","","TBA - NAVY","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Navy",243,247,"Gratis Space For Promotion & Give-A-Ways","","","","",35.793431,-78.70992
"","","Neomonde Baking Company","40 X 40","","DEMO - NEOMONDE BAKING CO","Vendor","WAKE","Heritage Village","DEMO","Page 16","Neomonde ",244,248,"Demo (Bread Products), Selling: Breads, Danishs, Muffins, Lebanese Pies, Pizza, Coffee, Hot Chocolate, Tea, Water & Soda.","","","","",35.796549,-78.714131
"","","Mcbride Concessions","25 X 10","","LOT B","Vendor","WAKE","B Lot","B-12","Page 2","Mcbride ",245,249,"Turkey Legs, Ital/Polish Sausage, Philly Steak/Cheese, Hot/Corn Dogs, Fries, Veg, Onion Rings, Ribs, Confections & Drinks","","","","",35.795166,-78.71225
"","","Fun Rider Rentals","22 X 42","","GATE 8 & 9","Vendor","OTHER","Gate 8","GATE 8","none","Fun Riders",246,250,"Strollers, Wheelchairs, Wagons & Electrics-Flat","","","","",35.797932,-78.716503
"","","Smokey Mountain Hillbilly Kettle Korn","10 X 30","","HERITAGE VILLAGE - SMOKEY MTN","Vendor","F&D","Heritage Village","HV","Page 16","Smokey Mt Kc",247,251,"Kettle Korn, Purifield Water, Sno Balls & Drinks","","","","",35.796268,-78.714732
"","","John The Greek","14 X 33","","LOT G-19.4","Vendor","WAKE","Scott South","G-19","Page 10","John The Greek",248,252,"Gyros, Shishkebobs,  Chicken Pita, Greek Salad, Stuffed Grape Leaves, Spanish Rice & Drinks","","","","",35.795642,-78.709505
"","","Got To Be NC Dairy Products","14X10","","LOT E010","Vendor","F&D","Graham/Dorton","E-10","Page 6","Got2Be Nc",249,253,"Sell Various Cheese Products, Cheese & Crackers, Goat Milk, Snack Packs And Sampling Of Goat Milk.","","","","",35.794097,-78.711389
"","","Poppies Fresh Onion Rings","23 X 0","","LOT H-23:1","Vendor","WAKE","Coleman Hill","H-23B","Page 9","Poppies",250,254,"Poppies Fresh Onion Rings Extra Space - 1 Year Only","","","","",35.796593,-78.708921
"","","NC National Guard","16 X 20","","LOT K014","Vendor","OTHER","Dorton/Hillsborough","K-14","Page 14","National Guard",251,255,"Gratis Space For Promotion","","","","",35.793481,-78.71046
"","","Chris Wrenn Dba Cajun Grill - Ragin' Cajun","20 x 12","","LOT G007","Vendor","WAKE","Grandstand","G-7","Page 7","Ragin’ Cajun ",252,256,"Crawfish Bites, Alligator Tail (Fried On A Stick), Shrimp & Chicken Gumbo Over Rice, Frog Legs, Country Ham And Cheddar Cheese Hushpuppy With Molasses Whipped Butter, Choclate Chip Hushpuppy With Powdered Sugar, Deep Fried Jalapeno Bacon Pimento Cheese Fritters; Serve With Cajun Ranch Sauce Or NC BBQ Sauce, Deep Fried Dirty Rice, Blue Crab Hush Puppies, Hush Puppies, French Fries, Sweet Tea, Soda & Water ","","","","",35.79516,-78.711926
"","","Child Evangelism Fellowship","20 X 10","","LOT K012","Vendor","OTHER","Graham/Dorton","K-12","Page 6","Child Ev.",253,257,"Gratis Space For Promotion","","","","",35.793462,-78.710937
"","","Gideons","10 X 10","","GRAHAM BUILDING - GIDEONS","Vendor","OTHER","Graham/Dorton","GRAHAM","Page 6","Gideons",254,258,"Gratis Space For Promotion","","","","",35.793838,-78.711719
"","","NC Hereford Association","10 X 10","","GRAHAM BLD - SHEEP","Vendor","OTHER","Graham/Dorton","GRAHAM","Page 6","Sheep Producers",255,259,"Promotional","","","","",35.79366,-78.711409
"","","NC Veterinary Medical Association","10 X 10","","EXPO CTR - VETERINARY","Vendor","OTHER","Expo","EXPO","Page 5","NC Vet Ma",256,260,"Promotion","","","","",35.794454,-78.712864
"","","Christian Farmers Outreach","10 X 10","","GRAHAM BLD 531","Vendor","OTHER","Graham/Dorton","GRAHAM","Page 6","Christian Farmers Outreach",257,261,"Wristbands, Magazines & Brochures","","","","",35.79376,-78.711473
"","","Heritage Series","50 X 25","","HERITAGE VILLAGE002","Vendor","F&D","Blacksmith Shop","HV-2","Page 16","Heritage Series",258,262,"Pressed Apple Cider (Includes Chlorine Rinse For E-Coli)","","","","",35.796122,-78.715185
"","","Food & Drug","10 X 10","","GRAHAM - USDA","Vendor","OTHER","Graham/Dorton","GRAHAM","Page 6","Food & Drug",259,263,"","","","","",35.79377,-78.71167
"","","Mazzarella Pizza, Inc.","28 X 30","","LOT H-20","Vendor","WAKE","Coleman Hill","H-20","Page 9","Maz.Pizza",260,264,"Pizza, Calzones, Stromboli & Drinks","","","","",35.796426,-78.709367
"","","Wtvd-Tv","20 X 30","","LOT K023","Vendor","OTHER","Dorton/Hillsborough","K-23","Page 14","Wtvd-Tv",261,265,"Gratis Space For Promotion","","","","",35.793488,-78.710534
"","","Rock N Roll Outlet Inc","10 X 20","","LOT L019","Vendor","OTHER","L Lot","L-19","Page 15","Rock N Roll",262,266,"Jewelry, Patches, Concert & T-Shirts","","","","",35.795326,-78.708612
"","","Colglazier Enterprises","30 X 20","","LOT E006","Vendor","WAKE","Graham/Dorton","E-6","Page 6","Colglazier ",263,267,"Sirloin Tips Dinners & Pitas With Mashed Potatoes, Onions, Peppers, Mushrooms, Ice Tea &  Bottled Water.","","","","",35.79392,-78.711288
"","","La Farm Bakery","26 X 8","","LOT K - LA FARM BAKERY","Vendor","WAKE","Dorton/Hillsborough","K","Page 14","Lafarm Bakery",264,268,"Assortment Of Artisan Breads & Pastries. Caramel Brioche Apple Pops, Vegetarian Friand, Heirloom Wrens Abruzzi Rye Pocket Pie, Sandwiches (Piedmont Pimento Blt, Monte Cristo, Lobster Roll, Chicken Salad Croissant, Mediterraneo, Avocado Toast), Peach Ice Tea & Bottled Water. Candied Bacon Smore. ","","","","",35.793507,-78.709497
"","","Rock N Roll Outlet Inc","20 X 10","","LOT K- ROCK N ROLL","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Rock N Roll Outlet Inc",265,269,"Jewelry, Patches, Concert & T-Shirts - No Offensive Products; We Will Have The Right To Ask You To Remove Any Products We Feel That Is Inappropriate.","","","","",35.793294,-78.710824
"","","Baguettaboutit (Fair)","16 X 8","","LOT E005","Vendor","WAKE","Graham/Dorton","E-5","Page 6","Baguettaboutit",266,270,"European Style Baguettes Stuffed Pork Sausage & Chicken Sausage With Homemade Sauce. Homemade Chicken Salad Baguette, Jamaican Jerk Chicken Sandwich, Sausage Balls Sandwich, Assorted Chips, Coke Products, Water, Sweet Tea, Gatorade And Monster Energy Drinks. You May Only Sale Koozies.","","","","",35.793867,-78.71123
"","","Best Gift Idea Ever","30 X 10","","LOT K - BEST GIFT","Vendor","F&D","Dorton/Hillsborough","K","Page 14","Best Gift Ever",267,271,"Mat/Frame Letter Art Photography With Local NC Photographs And Objects That Look Like Letters To Spell A Name, Sunglasses, Hats And Engraved Maps.","","","","",35.793357,-78.710866
"","","N & T Concession","15 X 20","","LOT A-17","Vendor","WAKE","A Lot","A-17","Page 1","N & T Con.",268,272,"Fish, Crab Bites, Shrimp Bits & Fries.","","","","",35.795459,-78.713014
"","","Choice Pools","24 X 40","","LOT K - CHOICE POOL ","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Choice Pools",269,273,"Spas Power By Generator","","","","",35.793179,-78.710069
"","","Fun, Rides, & Events, Inc.","27 x 40","","HERITAGE VILLAGE001","Vendor","F&D","Heritage Village","HV-1","Page 16","Fun Rides",270,274,"Ice Cream","","","","",35.796458,-78.714691
"","","NC Miller Assoc.","20 x 30","","GRIST MILL","Vendor","F&D","Heritage Village","HV","Page 16","NC Miller Assoc.",271,275,"Sell Hush Puppy Mix, Demo Products & Give-A-Way Samples Of Hush Puppies. Hours 12:00 Pm - 6:00 Pm.","","","","",35.796929,-78.714678
"","","Fun Rider Rentals","20 X 20","","GATE 8 & 9","Vendor","OTHER","Gate Nine","GATE 9","Page 17","Fun Riders",272,276,"Strollers, Wheelchairs, Wagons & Electrics-Flat","","","","",35.797382,-78.711468
"","","WRAL","30 x 30","","LOT K022","Vendor","OTHER","Dorton/Gate 1","K","none","WRAL",273,277,"Novelties & Water
","","","","",35.79446,-78.710151
"","","NC National Guard","","","LOT K014","Vendor","OTHER","Dorton/Hillsborough","K-14","Page 14","National Guard",274,278,"Gratis Space For Promotion","","","","",35.793515,-78.710421
"","","Jimmys Concessions","30 X 22","","LOT H-24","Vendor","WAKE","Coleman Hill","H-24","Page 9","Jimmys",275,279,"Hot Dogs, Hamburgers, Steak & Cheese, BBQ Sandwiches, Corndogs, Polish & Italian Sausages, Nachos, Grilled Chicken, Onion Rings, Fries, Sausage, Ham, Bacon, Egg, Cheese,Hash Brown,Gravy, Biscuits, Sandwiches Or Platters, Hot & Cold Beverages, Orange Juice, Milk (White Or Chocolate) ","","","","",35.796669,-78.708964
"","","NCSU Food Science (Howling Cow)","30 X 30","","LOT P001","Vendor","F&D","Grandstand","P-1","Page 7","NCSU Food Science",276,280,"Dairy Products & Cappuccino (Non-Profit) ","","","","",35.795486,-78.712651
"","","Churros To Go","12 x 15","","LOT I018","Vendor","WAKE","I Lot","I-18","none","Churros To Go",277,281,"Arepas (Sweet Corn Sandwich), Churros (Cinnamon Stiks) Flavors: Strawberry, Caramel, Chocolate, Cheddar Cheese With Bacon & Parsley, Cinnamon With Sugar Served With Vanilla Ice Cream, Hot Tea, Water, Coffee (Ice), Soft Drinks & Hot Chocolate/Coffee. Crunchy Churros.  ","","","","",35.794975,-78.709179
"","","Marines","7 X 15","","","Vendor","OTHER","Dorton/Gate 1","K","Page 13","Marines",278,282,"","","","","",35.793803,-78.709251
"","","Grannys Country Kitchen","24 X 15","","HERITAGE CIRCLE - GRANNYS","Vendor","WAKE","Heritage Village","HV","Page 16","Grannys Country Kitchen",279,283,"Homemade Chicken N' Dumplins In A Bread Bowl, Famous Country Fried Steak/Chicken With White Pepper Gravy, Fried Catfish Filets With Tartar Sauce, Homemade Pork BBQ, Bacon, Fried/Grilled Pork Chops, Fried Green Tomatoes, Fried Mac NCheese, Cole Slaw, French Fries, Pinto Beans,  Collard Greens, Thick Sliced Fried Bologna, Fried Catfish Filet, Pork Chop, Gravy Biscuit, Livermush, Bologna, Country Ham, Scrambled Eggs, (Hamburgers, Hot Dogs Only For The Heritage Circle Location), Sweet Tea, Bottled Soft Drinks & Bottled Water.","","","","",35.7966,-78.715011
"","","International Housewares, Inc.","14 X 10","","THE MARKETPLACE 4","Vendor","OTHER","The Marketplace","MP-4","Page 22","Int House-Ware",280,284,"Magic Lids & Sand/Balls","","","","",35.795497,-78.712745
"","","Amish Fudge","26 X 10","","THE MARKETPLACE 3","Vendor","F&D","The Marketplace","MP-3","Page 22","Amish Fudge & Cheese",281,285,"Fudge ","","","","",35.795542,-78.712706
"","","All American Candies","14 X 10","","THE MARKETPLACE 2","Vendor","F&D","The Marketplace","MP-2","Page 22","All American Candies",282,286,"Fudge & Soft Drinks/Water","","","","",35.795703,-78.713103
"","","All American Candies","26 X 10","","THE MARKETPLACE 1","Vendor","F&D","The Marketplace","MP-1","Page 22","All American Candies",283,287,"Fudge & Soft Drinks/Water","","","","",35.795748,-78.713064
"","","Catie Fashion Usa","10 x 10","","THE MARKETPLACE 18","Vendor","OTHER","The Marketplace","MP-18","Page 22","Catie Fashion",284,291,"Leather Wallets, Handbags & Belts","","","","",35.795612,-78.712958
"","","Catie Fashion Usa","10 x 10","","THE MARKETPLACE 19","Vendor","OTHER","The Marketplace","MP-19","Page 22","Catie Fashion",285,292,"Leather Wallets, Handbags & Belts","","","","",35.795597,-78.71293
"","","Catie Fashion Usa","10 x 10","","THE MARKETPLACE 20","Vendor","OTHER","The Marketplace","MP-20","Page 22","Catie Fashion",286,293,"Leather Wallets, Handbags & Belts","","","","",35.795581,-78.712902
"","","Spectrum Crafts International","10 x 10","","THE MARKETPLACE 22","Vendor","OTHER","The Marketplace","MP-22","none","Spectrum Crafts",287,294,"Handcrafted Wooden Eagles, Duck & Indians","","","","",35.795565,-78.712875
"","","Spectrum Crafts International","10 x 10","","THE MARKETPLACE 23","Vendor","OTHER","The Marketplace","MP-23","Page 22","Spectrum Crafts",288,295,"Handcrafted Wooden Eagles, Ducks & Indians","","","","",35.795549,-78.712847
"","","California Fashions","10 x 10","","THE MARKETPLACE 5","Vendor","OTHER","The Marketplace","MP-5","Page 22","Cali Fashions",289,296,"Clothing & Jewelry","","","","",35.795734,-78.712993
"","","California Fashions","10 x 10","","THE MARKETPLACE 6","Vendor","OTHER","The Marketplace","MP-6","Page 22","Cali Fashions",290,297,"Clothing & Jewelry","","","","",35.795718,-78.712966
"","","Leaffilter North Of NC, Inc.","10 x 10","","THE MARKETPLACE 7","Vendor","OTHER","The Marketplace","MP-7","Page 22","Leaffilter",291,298,"Leaffilter Gutter Protection & Promo Booth","","","","",35.795702,-78.712938
"","","Usborne Books & More","10 x 10","","THE MARKETPLACE 9","Vendor","OTHER","The Marketplace","MP-9","Page 22","Usborne Books",292,300,"Usborne Books & More Is An Award Winning Children's Publisher; Selling Children's Books.","","","","",35.79567,-78.712883
"","","Usborne Books & More","10 x 10","","THE MARKETPLACE 10","Vendor","OTHER","The Marketplace","MP-10","Page 22","Usborne Books",293,301,"Usborne Books & More Is An Award Winning Children's Publisher; Selling Children's Book.","","","","",35.795655,-78.712856
"","","I Jerky Day ","10 x 10","","THE MARKETPLACE 11","Vendor","OTHER","The Marketplace","MP-11","Page 22","I Jerky Day ",294,302,"Bakke Brother's Beef Jerky, Jerky Hut Beef Jerky & Whiskey Hill Exotic Animals Jerky (Alligator, Kangaroo, Bison, Elk, Venison & Ostrich).","","","","",35.795639,-78.712828
"","","Dallas Perfumes LLC","10 x 10","","THE MARKETPLACE 12","Vendor","OTHER","The Marketplace","MP-12","Page 22","Dallas Perfumes LLC",295,303,"Brand Name Perfumes","","","","",35.795623,-78.7128
"","","Dallas Perfumes LLC","10 x 10","","THE MARKETPLACE 13","Vendor","OTHER","The Marketplace","MP-13","Page 22","Dallas Perfumes LLC",296,304,"Brand Name Perfumes","","","","",35.795607,-78.712773
"","","Dallas Perfumes LLC","10 x 10","","THE MARKETPLACE 14","Vendor","OTHER","The Marketplace","MP-14","Page 22","Dallas Perfumes LLC",297,305,"Henna /Art Designs Temporary Tattoo. (Being A State Agency The Exposing Of Any Genital Region On A Male Or FEMAle Is Prohibited By Policy). ","","","","",35.795591,-78.712745
"","","Spectrum Crafts International","10 x 10","","THE MARKETPLACE 24","Vendor","OTHER","The Marketplace","MP-24","Page 22","Spectrum Crafts",298,306,"Handcrafted Wooden Eagles, Duck, Indians & Signs","","","","",35.795533,-78.71282
"","","Pinson Novelties","10 X 20","","LOT D0.1","Vendor","OTHER","D Lot","D-0.1","Page 8","Pinson",299,307,"Novelties","","","","",35.794847,-78.710548
